embedding_model,condition,candidate_top_n,beta,samples,mean_answer_rank,mean_trap_rank,recall@3,violation@3,recall_delta@3,violation_delta@3,recall@5,violation@5,recall_delta@5,violation_delta@5,recall@7,violation@7,recall_delta@7,violation_delta@7,recall@9,violation@9,recall_delta@9,violation_delta@9,avg_recall,avg_violation,avg_recall_delta,avg_violation_delta,strict_recall_kept_all_k,avg_recall_kept,violation_lower_all_k,avg_violation_lower
text-embedding-3-small,baseline - beta*q_trap,all,0.00,1000,24.55,42.752,0.931,0.835,0.0,0.0,0.946,0.883,0.0,0.0,0.953,0.9,0.0,0.0,0.954,0.911,0.0,0.0,0.946,0.88225,0.0,0.0,True,True,False,False
text-embedding-3-small,baseline - beta*q_trap,all,0.01,1000,24.423,44.853,0.931,0.821,0.0,-0.014000000000000012,0.947,0.877,0.0010000000000000009,-0.006000000000000005,0.953,0.895,0.0,-0.0050000000000000044,0.954,0.902,0.0,-0.009000000000000008,0.94625,0.87375,0.0002500000000000835,-0.008499999999999952,True,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.02,1000,24.269,47.382,0.931,0.815,0.0,-0.020000000000000018,0.948,0.866,0.0020000000000000018,-0.017000000000000015,0.953,0.891,0.0,-0.009000000000000008,0.954,0.899,0.0,-0.01200000000000001,0.9464999999999999,0.86775,0.0004999999999999449,-0.014499999999999957,True,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.03,1000,24.141,50.146,0.932,0.807,0.0010000000000000009,-0.027999999999999914,0.947,0.858,0.0010000000000000009,-0.025000000000000022,0.953,0.887,0.0,-0.013000000000000012,0.954,0.894,0.0,-0.017000000000000015,0.9464999999999999,0.8615,0.0004999999999999449,-0.020749999999999935,True,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.04,1000,23.957,53.123,0.931,0.795,0.0,-0.039999999999999925,0.948,0.85,0.0020000000000000018,-0.03300000000000003,0.953,0.885,0.0,-0.015000000000000013,0.955,0.889,0.0010000000000000009,-0.02200000000000002,0.94675,0.8547500000000001,0.0007500000000000284,-0.027499999999999858,True,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.05,1000,23.814,56.533,0.931,0.792,0.0,-0.04299999999999993,0.948,0.844,0.0020000000000000018,-0.039000000000000035,0.953,0.88,0.0,-0.020000000000000018,0.956,0.888,0.0020000000000000018,-0.02300000000000002,0.947,0.851,0.0010000000000000009,-0.03125,True,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.06,1000,23.674,60.22,0.93,0.784,-0.0010000000000000009,-0.050999999999999934,0.946,0.839,0.0,-0.04400000000000004,0.953,0.87,0.0,-0.030000000000000027,0.956,0.882,0.0020000000000000018,-0.029000000000000026,0.9462499999999999,0.84375,0.00024999999999997247,-0.03849999999999998,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.07,1000,23.568,64.391,0.93,0.768,-0.0010000000000000009,-0.06699999999999995,0.946,0.834,0.0,-0.049000000000000044,0.953,0.858,0.0,-0.04200000000000004,0.956,0.875,0.0020000000000000018,-0.03600000000000003,0.9462499999999999,0.83375,0.00024999999999997247,-0.04849999999999999,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.08,1000,23.412,69.066,0.93,0.758,-0.0010000000000000009,-0.07699999999999996,0.946,0.828,0.0,-0.05500000000000005,0.953,0.855,0.0,-0.04500000000000004,0.957,0.869,0.0030000000000000027,-0.04200000000000004,0.9464999999999999,0.8274999999999999,0.0004999999999999449,-0.054750000000000076,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.09,1000,23.286,74.306,0.932,0.747,0.0010000000000000009,-0.08799999999999997,0.946,0.817,0.0,-0.06600000000000006,0.952,0.847,-0.0010000000000000009,-0.05300000000000005,0.958,0.865,0.0040000000000000036,-0.04600000000000004,0.9470000000000001,0.819,0.001000000000000112,-0.06325000000000003,False,True,True,True
